,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d,dt
1857,20.0,WBTCWrapped Bitcoin,WBTC,"$7,354,329,182.37","$38,899.30","189,061 WBTC *","$170,420,545.61",0.25%,9.31%,8.50%,20210613
1858,210.0,HBTCHuobi BTC,HBTC,"$1,472,824,353.48","$38,854.27","37,906 HBTC *","$26,139,149.87",0.05%,9.07%,8.44%,20210613
1859,56.0,CHZChiliz,CHZ,"$1,657,756,440.04",$0.2858,"5,799,953,862 CHZ *","$365,234,958.06",0.51%,4.29%,7.10%,20210613
1860,137.0,MLNEnzyme,MLN,"$301,454,874.56",$168.15,"1,792,738 MLN *","$45,040,911.59",-0.30%,26.18%,131.42%,20210606
1861,631.0,TEMCOTEMCO,TEMCO,"$29,354,048.11",$0.009436,"3,110,969,019 TEMCO","$32,118,887.91",-0.84%,62.18%,102.74%,20210606
1862,139.0,WOOWootrade,WOO,"$294,045,610.89",$0.7815,"376,235,705 WOO *","$57,862,120.95",5.39%,20.21%,71.23%,20210606
1863,233.0,TITANTitanSwap,TITAN,"$283,030,491.34",$5.2998,"53,404,160 TITAN","$35,952,871.42",-0.25%,-22.69%,61.37%,20210606
1864,178.0,IQEveripedia,IQ,"$182,503,133.50",$0.01823,"10,013,322,166 IQ *","$43,032,217.56",5.63%,1.86%,59.83%,20210606
1865,236.0,TKOToko Token,TKO,"$259,598,894.70",$2.3926,"108,500,000 TKO *","$23,109,665.54",0.60%,0.15%,56.36%,20210606
1866,114.0,KNCKyber Network Crystal Legacy,KNC,"$494,064,520.02",$2.4095,"205,045,092 KNC *","$118,879,200.81",1.63%,15.70%,53.52%,20210606
1867,45.0,TFUELTheta Fuel,TFUEL,"$2,445,314,261.11",$0.4613,"5,301,214,400 TFUEL *","$112,192,694.76",0.51%,3.55%,51.96%,20210606
1868,15.0,SOLSolana,SOL,"$11,534,847,407.95",$42.31,"272,637,428 SOL *","$794,387,364.26",-0.14%,6.88%,47.92%,20210606
1869,187.0,PHAPhala Network,PHA,"$166,560,097.57",$0.9377,"177,634,380 PHA *","$26,167,539.82",0.04%,2.00%,47.49%,20210606
1870,106.0,CKBNervos Network,CKB,"$557,620,766.32",$0.02098,"26,584,357,462 CKB *","$98,020,189.85",0.18%,-6.64%,46.96%,20210606
1871,93.0,CRVCurve DAO Token,CRV,"$872,879,666.84",$2.4531,"355,823,764 CRV *","$213,943,450.89",0.36%,-2.90%,46.37%,20210606
1872,147.0,ABBCABBC Coin,ABBC,"$267,577,008.73",$0.3148,"849,876,228 ABBC","$40,773,651.60",-1.68%,15.97%,46.34%,20210606
1873,133.0,KAVAKava.io,KAVA,"$329,307,530.78",$4.6929,"70,172,142 KAVA *","$46,747,675.72",1.38%,-1.43%,43.51%,20210606
1874,412.0,DOCKDock,DOCK,"$60,038,403.73",$0.0874,"686,914,993 DOCK *","$56,959,756.34",6.58%,42.60%,42.75%,20210606
1875,419.0,MOFMolecular Future,MOF,"$60,788,751.75",$0.7111,"85,481,225 MOF","$12,704,799.66",-4.45%,0.21%,41.88%,20210606
1876,313.0,MXCMXC,MXC,"$105,690,150.44",$0.041,"2,577,738,083 MXC *","$25,984,078.67",0.17%,4.24%,40.07%,20210606
1877,320.0,LONTokenlon Network Token,LON,"$101,019,164.81",$4.0242,"25,103,136 LON *","$15,452,029.66",0.90%,6.16%,39.03%,20210606
1878,560.0,PERLPerlin,PERL,"$36,669,304.66",$0.07469,"490,938,908 PERL *","$43,866,283.67",1.62%,35.73%,38.35%,20210606
1879,307.0,IRISIRISnet,IRIS,"$107,967,243.65",$0.1054,"1,024,796,421 IRIS *","$90,728,538.78",0.82%,38.00%,37.30%,20210606
1880,122.0,OGNOrigin Protocol,OGN,"$356,059,959.55",$1.1369,"313,184,083 OGN *","$140,164,255.80",-2.44%,26.03%,98.69%,20210530
1881,370.0,PONDMarlin,POND,"$72,512,905.13",$0.0984,"736,908,424 POND *","$28,362,879.97",1.23%,20.70%,75.42%,20210530
1882,94.0,BAKEBakeryToken,BAKE,"$768,765,427.61",$4.0736,"188,717,930 BAKE *","$181,808,019.43",-1.11%,-0.55%,71.82%,20210530
1883,13.0,MATICPolygon,MATIC,"$11,584,229,101.15",$1.8649,"6,211,590,053 MATIC *","$4,118,454,690.40",1.49%,9.82%,71.61%,20210530
1884,107.0,LPTLivepeer,LPT,"$496,049,166.02",$23.44,"21,164,655 LPT *","$16,229,798.58",-0.09%,0.98%,69.61%,20210530
