Symbol,Num,Max,Mean,Std
AAVE/JOE,0,1.0086378737541528,1.0004363684675575,0.00037798433076422996
AAVE/JST,0,1.0086378737541528,1.0004363684675575,0.0003779843307642308
AAVE/KAVA,0,1.0154443995233637,1.0027155766368936,0.002114736117056914
AAVE/KDA,0,1.0086378737541528,1.0004363684675575,0.0003779843307642309
AAVE/KLAY,23,1.3824786324786325,1.0025358259820976,0.010217407909302506
AAVE/KMD,0,1.0086378737541528,1.0004363684675575,0.00037798433076422904
AAVE/KNC,2,1.034278121559546,1.003462010320731,0.0021351228431230915
AAVE/KSM,0,1.0284463503231782,1.0028080920851485,0.0019123045993300843
AAVE/LAZIO,0,1.0086378737541528,1.0004363684675575,0.0003779843307642303
AAVE/LDO,0,1.0086378737541526,1.0004363684675575,0.00037798433076423083
AAVE/LINA,0,1.0086378737541528,1.0004363684675575,0.00037798433076423094
AAVE/LINK,0,1.022790367574296,1.0035469151168055,0.001387433113644216
AAVE/LIT,3,1.034136424507208,1.0051333663805706,0.004553773709909175
AAVE/LOKA,0,1.0086378737541528,1.0004363684675575,0.00037798433076422953
AAVE/LOOM,0,1.0086378737541528,1.0004363684675575,0.0003779843307642313
AAVE/LPT,0,1.0086378737541528,1.0004363684675575,0.0003779843307642316
AAVE/LRC,1,1.0510819383916266,1.002899207378856,0.0018732453609006001
AAVE/LSK,3,1.0427318320482573,1.0042810243979439,0.002516790881341421
AAVE/LTC,0,1.02136777984188,1.0026166091685018,0.0009698657223257138
AAVE/LTO,0,1.0086378737541528,1.0004363684675575,0.0003779843307642295
AAVE/LUNA,1,1.0470850503276363,1.0020422835815535,0.0010561002560805057
